"Sample Name"	"Protocol REF"	"Extract Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Hybridization Assay Name"	"Array Design REF"	"Protocol REF"	"Array Data File"	"Protocol REF"	"Normalization Name"	"Factor Value[Gravitation]"	"Term Source REF"	"Term Accession Number"
"GSM266034"	"RNA extraction"	"GSM266034"	"total RNA"	""	""	"labeling"	"GSM266034"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266034"	"GPL339"	"scan protocol"	"*GSM266034.CEL.gz"	"normalization data transformation"	"GSM266034"	"no treatment"	""	""
"GSM266035"	"RNA extraction"	"GSM266035"	"total RNA"	""	""	"labeling"	"GSM266035"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266035"	"GPL339"	"scan protocol"	"*GSM266035.CEL.gz"	"normalization data transformation"	"GSM266035"	"no treatment"	""	""
"GSM266036"	"RNA extraction"	"GSM266036"	"total RNA"	""	""	"labeling"	"GSM266036"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266036"	"GPL339"	"scan protocol"	"*GSM266036.CEL.gz"	"normalization data transformation"	"GSM266036"	"no treatment"	""	""
"GSM266037"	"RNA extraction"	"GSM266037"	"total RNA"	""	""	"labeling"	"GSM266037"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266037"	"GPL339"	"scan protocol"	"*GSM266037.CEL.gz"	"normalization data transformation"	"GSM266037"	"no treatment"	""	""
"GSM266038"	"RNA extraction"	"GSM266038"	"total RNA"	""	""	"labeling"	"GSM266038"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266038"	"GPL339"	"scan protocol"	"*GSM266038.CEL.gz"	"normalization data transformation"	"GSM266038"	"no treatment"	""	""
"GSM266039"	"RNA extraction"	"GSM266039"	"total RNA"	""	""	"labeling"	"GSM266039"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266039"	"GPL339"	"scan protocol"	"*GSM266039.CEL.gz"	"normalization data transformation"	"GSM266039"	"hindlimb suspension"	""	""
"GSM266040"	"RNA extraction"	"GSM266040"	"total RNA"	""	""	"labeling"	"GSM266040"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266040"	"GPL339"	"scan protocol"	"*GSM266040.CEL.gz"	"normalization data transformation"	"GSM266040"	"hindlimb suspension"	""	""
"GSM266041"	"RNA extraction"	"GSM266041"	"total RNA"	""	""	"labeling"	"GSM266041"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266041"	"GPL339"	"scan protocol"	"*GSM266041.CEL.gz"	"normalization data transformation"	"GSM266041"	"hindlimb suspension"	""	""
"GSM266042"	"RNA extraction"	"GSM266042"	"total RNA"	""	""	"labeling"	"GSM266042"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266042"	"GPL339"	"scan protocol"	"*GSM266042.CEL.gz"	"normalization data transformation"	"GSM266042"	"hindlimb suspension"	""	""
"GSM266043"	"RNA extraction"	"GSM266043"	"total RNA"	""	""	"labeling"	"GSM266043"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266043"	"GPL339"	"scan protocol"	"*GSM266043.CEL.gz"	"normalization data transformation"	"GSM266043"	"hindlimb suspension"	""	""
